2.2) Regras de tamanho 2, ou seja 1 elemento no antecedente e 1 no consequente da regra, com minsup=0.0 e minconf=0.01

C:\Users\Lucas\AppData\Local\Programs\Python\Python36-32\python.exe C:/Users/Lucas/PycharmProjects/machine_learning/machineLearning.py
{taxa_lagrimas: 2} -> {Classe: 3} (conf: 0.250, supp: 0.125, lift: 0.400, conv: 0.500)
{disturbios_visao: 1} -> {ID: 4} (conf: 0.083, supp: 0.042, lift: 2.000, conv: 1.045)
{ID: 4} -> {disturbios_visao: 1} (conf: 1.000, supp: 0.042, lift: 2.000, conv: 500000000.000)
{taxa_lagrimas: 2} -> {ID: 4} (conf: 0.083, supp: 0.042, lift: 2.000, conv: 1.045)
{ID: 4} -> {taxa_lagrimas: 2} (conf: 1.000, supp: 0.042, lift: 2.000, conv: 500000000.000)
{astigmatico: 1} -> {ID: 5} (conf: 0.083, supp: 0.042, lift: 2.000, conv: 1.045)
{ID: 5} -> {astigmatico: 1} (conf: 1.000, supp: 0.042, lift: 2.000, conv: 500000000.000)
{disturbios_visao: 2} -> {ID: 5} (conf: 0.083, supp: 0.042, lift: 2.000, conv: 1.045)
{ID: 5} -> {disturbios_visao: 2} (conf: 1.000, supp: 0.042, lift: 2.000, conv: 500000000.000)
{taxa_lagrimas: 1} -> {ID: 5} (conf: 0.083, supp: 0.042, lift: 2.000, conv: 1.045)
{ID: 5} -> {taxa_lagrimas: 1} (conf: 1.000, supp: 0.042, lift: 2.000, conv: 500000000.000)
{astigmatico: 1} -> {ID: 6} (conf: 0.083, supp: 0.042, lift: 2.000, conv: 1.045)
{ID: 6} -> {astigmatico: 1} (conf: 1.000, supp: 0.042, lift: 2.000, conv: 500000000.000)
{disturbios_visao: 2} -> {ID: 6} (conf: 0.083, supp: 0.042, lift: 2.000, conv: 1.045)
{ID: 6} -> {disturbios_visao: 2} (conf: 1.000, supp: 0.042, lift: 2.000, conv: 500000000.000)
{taxa_lagrimas: 2} -> {ID: 6} (conf: 0.083, supp: 0.042, lift: 2.000, conv: 1.045)
{ID: 6} -> {taxa_lagrimas: 2} (conf: 1.000, supp: 0.042, lift: 2.000, conv: 500000000.000)
{astigmatico: 2} -> {ID: 7} (conf: 0.083, supp: 0.042, lift: 2.000, conv: 1.045)
{ID: 7} -> {astigmatico: 2} (conf: 1.000, supp: 0.042, lift: 2.000, conv: 500000000.000)
{disturbios_visao: 2} -> {ID: 7} (conf: 0.083, supp: 0.042, lift: 2.000, conv: 1.045)
{ID: 7} -> {disturbios_visao: 2} (conf: 1.000, supp: 0.042, lift: 2.000, conv: 500000000.000)
{taxa_lagrimas: 1} -> {ID: 7} (conf: 0.083, supp: 0.042, lift: 2.000, conv: 1.045)
{ID: 7} -> {taxa_lagrimas: 1} (conf: 1.000, supp: 0.042, lift: 2.000, conv: 500000000.000)
{astigmatico: 2} -> {ID: 8} (conf: 0.083, supp: 0.042, lift: 2.000, conv: 1.045)
{ID: 8} -> {astigmatico: 2} (conf: 1.000, supp: 0.042, lift: 2.000, conv: 500000000.000)
{disturbios_visao: 2} -> {ID: 8} (conf: 0.083, supp: 0.042, lift: 2.000, conv: 1.045)
{ID: 8} -> {disturbios_visao: 2} (conf: 1.000, supp: 0.042, lift: 2.000, conv: 500000000.000)
{taxa_lagrimas: 2} -> {ID: 8} (conf: 0.083, supp: 0.042, lift: 2.000, conv: 1.045)
{ID: 8} -> {taxa_lagrimas: 2} (conf: 1.000, supp: 0.042, lift: 2.000, conv: 500000000.000)
{astigmatico: 1} -> {ID: 9} (conf: 0.083, supp: 0.042, lift: 2.000, conv: 1.045)
{ID: 9} -> {astigmatico: 1} (conf: 1.000, supp: 0.042, lift: 2.000, conv: 500000000.000)
{disturbios_visao: 1} -> {ID: 9} (conf: 0.083, supp: 0.042, lift: 2.000, conv: 1.045)
{ID: 9} -> {disturbios_visao: 1} (conf: 1.000, supp: 0.042, lift: 2.000, conv: 500000000.000)
{taxa_lagrimas: 1} -> {ID: 9} (conf: 0.083, supp: 0.042, lift: 2.000, conv: 1.045)
{ID: 9} -> {taxa_lagrimas: 1} (conf: 1.000, supp: 0.042, lift: 2.000, conv: 500000000.000)
{idade: 1} -> {ID: 1} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 1} -> {idade: 1} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 2} -> {ID: 10} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 10} -> {idade: 2} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 2} -> {ID: 11} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 11} -> {idade: 2} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 2} -> {ID: 12} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 12} -> {idade: 2} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 2} -> {ID: 13} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 13} -> {idade: 2} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 2} -> {ID: 14} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 14} -> {idade: 2} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 2} -> {ID: 15} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 15} -> {idade: 2} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 2} -> {ID: 16} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 16} -> {idade: 2} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 3} -> {ID: 17} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 17} -> {idade: 3} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 3} -> {ID: 18} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 18} -> {idade: 3} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 3} -> {ID: 19} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 19} -> {idade: 3} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 1} -> {ID: 2} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 2} -> {idade: 1} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 3} -> {ID: 20} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 20} -> {idade: 3} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 3} -> {ID: 21} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 21} -> {idade: 3} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 3} -> {ID: 22} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 22} -> {idade: 3} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 3} -> {ID: 23} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 23} -> {idade: 3} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 3} -> {ID: 24} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 24} -> {idade: 3} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 1} -> {ID: 3} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 3} -> {idade: 1} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 1} -> {ID: 4} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 4} -> {idade: 1} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 1} -> {ID: 5} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 5} -> {idade: 1} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 1} -> {ID: 6} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 6} -> {idade: 1} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 1} -> {ID: 7} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 7} -> {idade: 1} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 1} -> {ID: 8} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 8} -> {idade: 1} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{idade: 2} -> {ID: 9} (conf: 0.125, supp: 0.042, lift: 3.000, conv: 1.095)
{ID: 9} -> {idade: 2} (conf: 1.000, supp: 0.042, lift: 3.000, conv: 666666666.667)
{ID: 10} -> {Classe: 2} (conf: 1.000, supp: 0.042, lift: 4.800, conv: 791666666.667)
{Classe: 2} -> {ID: 10} (conf: 0.200, supp: 0.042, lift: 4.800, conv: 1.198)
{ID: 14} -> {Classe: 2} (conf: 1.000, supp: 0.042, lift: 4.800, conv: 791666666.667)
{Classe: 2} -> {ID: 14} (conf: 0.200, supp: 0.042, lift: 4.800, conv: 1.198)
{ID: 2} -> {Classe: 2} (conf: 1.000, supp: 0.042, lift: 4.800, conv: 791666666.667)
{Classe: 2} -> {ID: 2} (conf: 0.200, supp: 0.042, lift: 4.800, conv: 1.198)
{ID: 22} -> {Classe: 2} (conf: 1.000, supp: 0.042, lift: 4.800, conv: 791666666.667)
{Classe: 2} -> {ID: 22} (conf: 0.200, supp: 0.042, lift: 4.800, conv: 1.198)
{ID: 6} -> {Classe: 2} (conf: 1.000, supp: 0.042, lift: 4.800, conv: 791666666.667)
{Classe: 2} -> {ID: 6} (conf: 0.200, supp: 0.042, lift: 4.800, conv: 1.198)
{ID: 12} -> {Classe: 1} (conf: 1.000, supp: 0.042, lift: 6.000, conv: 833333333.333)
{Classe: 1} -> {ID: 12} (conf: 0.250, supp: 0.042, lift: 6.000, conv: 1.278)
{ID: 20} -> {Classe: 1} (conf: 1.000, supp: 0.042, lift: 6.000, conv: 833333333.333)
{Classe: 1} -> {ID: 20} (conf: 0.250, supp: 0.042, lift: 6.000, conv: 1.278)
{ID: 4} -> {Classe: 1} (conf: 1.000, supp: 0.042, lift: 6.000, conv: 833333333.333)
{Classe: 1} -> {ID: 4} (conf: 0.250, supp: 0.042, lift: 6.000, conv: 1.278)
{ID: 8} -> {Classe: 1} (conf: 1.000, supp: 0.042, lift: 6.000, conv: 833333333.333)
{Classe: 1} -> {ID: 8} (conf: 0.250, supp: 0.042, lift: 6.000, conv: 1.278)

Process finished with exit code 0
